Company,Environment,Social,Governance,Composite,Effective_Weights,Grade,Confidence,Valid_KPI_Count,Missing_Pillars,KPI_scores,Weight_Basis,Weight_Config,KPI_Counts_per_Pillar
Bharat Petroleum Corporation Limited,43.8,53.3,,47.9,"{'Environment': 0.5714, 'Social': 0.4286}",C,High,15,['Governance'],"{'Waste_MT_perRevCr': 50.0, 'GHG_tCO2e_perRevCr': 75.0, 'Female_Ratio_PermanentWorkers': 25.0, 'Water_KL_perEmployee': 75.0, 'Waste_MT_perEmployee': 0.0, 'WasteRecoveryRate_Pct': 75.0, 'Female_Ratio_PermanentEmp': 50.0, 'Energy_GJ_perRevCr': 75.0, 'Water_KL_perRevCr': 75.0, 'RenewableEnergyShare_Pct': 0.0, 'Female_Ratio_AllEmployees': 50.0, 'Female_Ratio_AllWorkers': 75.0, 'GHG_tCO2e_perEmployee': 25.0, 'Female_Ratio_ContractWorkers': 66.7, 'Energy_GJ_perEmployee': 25.0}",Fixed configuration weights (E=40% S=30% G=30%),"{'Environment': 40, 'Social': 30, 'Governance': 30}","{'Environment': 8, 'Social': 5, 'Governance': 0}"
Hindustan Petroleum Corporation Limited,75.0,71.7,,73.6,"{'Environment': 0.5714, 'Social': 0.4286}",A,High,15,['Governance'],"{'Waste_MT_perRevCr': 75.0, 'GHG_tCO2e_perRevCr': 100.0, 'Female_Ratio_PermanentWorkers': 75.0, 'Water_KL_perEmployee': 100.0, 'Waste_MT_perEmployee': 50.0, 'WasteRecoveryRate_Pct': 0.0, 'Female_Ratio_PermanentEmp': 100.0, 'Energy_GJ_perRevCr': 100.0, 'Water_KL_perRevCr': 100.0, 'RenewableEnergyShare_Pct': 75.0, 'Female_Ratio_AllEmployees': 100.0, 'Female_Ratio_AllWorkers': 50.0, 'GHG_tCO2e_perEmployee': 75.0, 'Female_Ratio_ContractWorkers': 33.3, 'Energy_GJ_perEmployee': 100.0}",Fixed configuration weights (E=40% S=30% G=30%),"{'Environment': 40, 'Social': 30, 'Governance': 30}","{'Environment': 8, 'Social': 5, 'Governance': 0}"
Indian Oil Corporation Limited,56.2,45.0,,51.4,"{'Environment': 0.5714, 'Social': 0.4286}",B,High,15,['Governance'],"{'Waste_MT_perRevCr': 25.0, 'GHG_tCO2e_perRevCr': 50.0, 'Female_Ratio_PermanentWorkers': 50.0, 'Water_KL_perEmployee': 50.0, 'Waste_MT_perEmployee': 75.0, 'WasteRecoveryRate_Pct': 25.0, 'Female_Ratio_PermanentEmp': 75.0, 'Energy_GJ_perRevCr': 50.0, 'Water_KL_perRevCr': 50.0, 'RenewableEnergyShare_Pct': 25.0, 'Female_Ratio_AllEmployees': 75.0, 'Female_Ratio_AllWorkers': 25.0, 'GHG_tCO2e_perEmployee': 100.0, 'Female_Ratio_ContractWorkers': 0.0, 'Energy_GJ_perEmployee': 75.0}",Fixed configuration weights (E=40% S=30% G=30%),"{'Environment': 40, 'Social': 30, 'Governance': 30}","{'Environment': 8, 'Social': 5, 'Governance': 0}"
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,31.2,60.0,,43.5,"{'Environment': 0.5714, 'Social': 0.4286}",C,High,15,['Governance'],"{'Waste_MT_perRevCr': 100.0, 'GHG_tCO2e_perRevCr': 25.0, 'Female_Ratio_PermanentWorkers': 100.0, 'Water_KL_perEmployee': 0.0, 'Waste_MT_perEmployee': 100.0, 'WasteRecoveryRate_Pct': 50.0, 'Female_Ratio_PermanentEmp': 0.0, 'Energy_GJ_perRevCr': 25.0, 'Water_KL_perRevCr': 25.0, 'RenewableEnergyShare_Pct': 50.0, 'Female_Ratio_AllEmployees': 0.0, 'Female_Ratio_AllWorkers': 100.0, 'GHG_tCO2e_perEmployee': 0.0, 'Female_Ratio_ContractWorkers': 100.0, 'Energy_GJ_perEmployee': 0.0}",Fixed configuration weights (E=40% S=30% G=30%),"{'Environment': 40, 'Social': 30, 'Governance': 30}","{'Environment': 8, 'Social': 5, 'Governance': 0}"
Reliance Industries Limited,43.8,12.5,,30.4,"{'Environment': 0.5714, 'Social': 0.4286}",C,High,14,['Governance'],"{'Waste_MT_perRevCr': 0.0, 'GHG_tCO2e_perRevCr': 0.0, 'Female_Ratio_PermanentWorkers': 0.0, 'Water_KL_perEmployee': 25.0, 'Waste_MT_perEmployee': 25.0, 'WasteRecoveryRate_Pct': 100.0, 'Female_Ratio_PermanentEmp': 25.0, 'Energy_GJ_perRevCr': 0.0, 'Water_KL_perRevCr': 0.0, 'RenewableEnergyShare_Pct': 100.0, 'Female_Ratio_AllEmployees': 25.0, 'Female_Ratio_AllWorkers': 0.0, 'GHG_tCO2e_perEmployee': 50.0, 'Energy_GJ_perEmployee': 50.0}",Fixed configuration weights (E=40% S=30% G=30%),"{'Environment': 40, 'Social': 30, 'Governance': 30}","{'Environment': 8, 'Social': 4, 'Governance': 0}"
