Company,perm_emp_male,perm_emp_female,perm_emp_other,perm_emp_total,nonperm_emp_male,nonperm_emp_female,nonperm_emp_total,total_emp_male,total_emp_female,total_emp_total,perm_wkr_male,perm_wkr_female,perm_wkr_total,contract_wkr_male,contract_wkr_female,contract_wkr_total,total_wkr_male,total_wkr_female,total_wkr_total,plants_national,plants_intl,offices_national,offices_intl,Turnover_INR,NetWorth_INR,TotalEnergy_GJ,RenewableEnergy_GJ,NonRenewableEnergy_GJ,TotalElectricity_Renewable,TotalElectricity_NonRenewable,TotalFuel_Renewable,TotalFuel_NonRenewable,EnergyIntensity_perRupee,EnergyIntensity_Physical,Scope1_tCO2e,Scope2_tCO2e,GHGIntensity_perRupee,GHGIntensity_Physical,WaterWithdrawal_KL,WaterConsumption_KL,WaterDischarged_KL,WaterIntensity_perRupee,WasteGenerated_MT,WasteRecovered_MT,WasteDisposed_MT,WasteDisposed_Incineration,WasteDisposed_Landfill,WasteIntensity_perRupee,WasteIntensity_Physical,PlasticWaste_MT,EWaste_MT,HazardousWaste_MT,NonHazardousWaste_MT,Fatalities,Complaints_Filed,Female_Ratio_PermanentEmp,Female_Ratio_PermanentWorkers,Female_Ratio_ContractWorkers,Female_Ratio_AllEmployees,Female_Ratio_AllWorkers,Female_Ratio_NonPermEmployees,Female_Ratio_NonPermEmployees_UNRELIABLE,RenewableEnergyShare_Pct,TotalGHG_tCO2e,WasteRecoveryRate_Pct,Energy_GJ_perEmployee,GHG_tCO2e_perEmployee,Waste_MT_perEmployee,Water_KL_perEmployee,Energy_GJ_perRevCr,GHG_tCO2e_perRevCr,Waste_MT_perRevCr,Water_KL_perRevCr,EmpIntensity_per_CrTurnover
Bharat Petroleum Corporation Limited,5580.0,616.0,0.0,6196.0,0.0,1.0,1.0,5580.0,617.0,6197.0,2438.0,113.0,2551.0,26665.0,964.0,27629.0,29103.0,1077.0,30180.0,253.0,0.0,5.0,0.0,5003712500000.0,809600900000.0,129219140.0,212240.0,129006900.0,212240.0,4245730.0,0.0,124761170.0,2.58e-08,2464210.0,9935959.52,857339.13,2.16e-06,0.21,56966350.0,36085530.0,20880830.0,7.21e-06,185615.69,156655.15,9294.28,351.68,3113.06,4e-08,3539.7,5637.45,3.91,52106.0,127767.89,0.0,0.0,9.94,4.43,3.49,9.96,3.57,100.0,True,0.16,10793298.65,84.4,14772.9667,1233.9429,21.2205,4125.475,258.246532,21.570581,0.370956,72.117513,0.0124
Hindustan Petroleum Corporation Limited,5263.0,746.0,0.0,6009.0,88.0,61.0,149.0,5351.0,807.0,6158.0,1909.0,131.0,2040.0,35795.0,1179.0,36974.0,37704.0,1310.0,39014.0,216.0,0.0,177.0,0.0,4642469600000.0,459583000000.0,70311524.0,297182.0,70014342.0,280157.0,5874620.0,17025.0,64139722.0,1.515e-05,1.41,5513044.0,1199251.0,1.45e-06,0.13,56497276.0,19823765.0,36673512.0,4.27e-06,134594.2,15721.8,124071.0,254.6,100576.3,3e-08,0.0027,137.9,8.7,6999.0,17442.5,0.0,0.0,12.41,6.42,3.19,13.1,3.36,40.94,,0.42,6712295.0,11.68,8735.436,833.9291,16.7219,2462.8855,151.452847,14.458458,0.289919,42.700904,0.0129
Indian Oil Corporation Limited,16736.0,2004.0,0.0,18740.0,351.0,40.0,391.0,17087.0,2044.0,19131.0,10542.0,659.0,11201.0,122175.0,2458.0,124633.0,132717.0,3117.0,135834.0,626.0,0.0,226.0,12.0,8455130000000.0,1508627000000.0,320346000.0,556000.0,319790000.0,556000.0,6419000.0,0.0,313371000.0,3.79e-08,4480.0,21240000.0,1290000.0,2.6647e-06,0.315,117305900.0,152925668.0,5007983.0,1.809e-05,464362.0,330174.0,133005.0,22929.0,16730.0,5e-08,0.006,780.0,311.0,362944.0,90261.0,0.0,0.0,10.69,5.88,1.97,10.68,2.29,10.23,,0.17,22530000.0,71.1,10699.2418,752.4799,15.5092,5107.5671,378.877675,26.646545,0.549207,180.867317,0.0222
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,1092.0,70.0,0.0,1162.0,0.0,0.0,0.0,1092.0,70.0,1162.0,1212.0,156.0,1368.0,3786.0,303.0,4089.0,4998.0,459.0,5457.0,1.0,0.0,12.0,0.0,1092774900000.0,129337800000.0,74964550.0,204225.0,74760325.0,204225.0,640058.0,0.0,74120267.0,6.86e-05,4.15,5675575.0,143254.0,5.32e-06,0.32,25165814.0,22127450.0,6947003.0,2.025e-05,15244.9,11978.0,3416.0,8.9,24.1,1e-08,0.00085,2434.0,213.0,9356.0,3223.0,0.0,0.0,6.02,11.4,7.41,6.02,8.41,,,0.27,5818829.0,78.57,29630.2569,2299.9324,6.0257,8746.0277,686.001756,53.248194,0.139506,202.488637,0.0106
Reliance Industries Limited,31608.0,2194.0,0.0,33802.0,5188.0,168.0,5356.0,36796.0,2362.0,39158.0,3493.0,52.0,3545.0,0.0,0.0,0.0,3493.0,52.0,3545.0,15.0,0.0,62.0,2.0,5571628286325.76,4968899014702.44,481641954.0,5344930.0,476297024.0,46312.0,8748485.0,5298618.0,467548539.0,8.645e-05,5.98,36459294.0,1470097.0,6.81e-06,0.471,208465383.0,208465383.0,35305823.0,3.742e-05,760123.0,737961.0,22162.0,14193.0,7959.0,1.4e-07,0.0094,3689.0,259.0,121782.0,633727.0,0.0,0.0,6.49,1.47,,6.03,1.47,3.14,,1.11,37929391.0,97.08,12896.4028,1015.5941,20.353,5581.8508,864.454571,68.075954,1.364274,374.155224,0.0607
